MsgID.GLOBAL_POSITION,0.0000000,-122.3974514,37.7924813,0.2220000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,13.2810000,0.0984038,0.1693865,-0.2221833
MsgID.LOCAL_VELOCITY,13.2810000,-0.0000037,-0.0000023,0.0000145
MsgID.GLOBAL_POSITION,0.0000000,-122.3974496,37.7924801,0.2190000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,13.5310000,-0.0325269,0.3229550,-0.2190368
MsgID.LOCAL_VELOCITY,13.5310000,0.0000153,-0.0000309,0.0000223
MsgID.GLOBAL_POSITION,0.0000000,-122.3974488,37.7924799,0.2120000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,13.7810000,-0.0612960,0.3923408,-0.2121416
MsgID.LOCAL_VELOCITY,13.7810000,0.0000363,-0.0000044,0.0000184
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974510,37.7924799,0.2060000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,14.0310000,-0.0564974,0.2027732,-0.2064389
MsgID.LOCAL_VELOCITY,14.0310000,-0.0000187,-0.0000064,0.0000190
MsgID.GLOBAL_POSITION,0.0000000,-122.3974505,37.7924810,0.2060000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,14.2810000,0.0653917,0.2492996,-0.2061279
MsgID.LOCAL_VELOCITY,14.2810000,-0.0000070,0.0000097,0.0000161
MsgID.GLOBAL_POSITION,0.0000000,-122.3974505,37.7924807,0.2130000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,14.5310000,0.0316026,0.2493867,-0.2134391
MsgID.LOCAL_VELOCITY,14.5310000,0.0000169,-0.0000090,0.0000246
MsgID.GLOBAL_POSITION,0.0000000,-122.3974497,37.7924795,0.2270000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,14.7810000,-0.0980727,0.3185417,-0.2277759
MsgID.LOCAL_VELOCITY,14.7810000,-0.0000168,-0.0000016,0.0000223
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974484,37.7924798,0.2450000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,15.0310000,-0.0642664,0.4289010,-0.2454401
MsgID.LOCAL_VELOCITY,15.0310000,-0.0000017,-0.0000171,0.0000187
MsgID.GLOBAL_POSITION,0.0000000,-122.3974499,37.7924801,0.2610000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,15.2810000,-0.0312458,0.2962046,-0.2611043
MsgID.LOCAL_VELOCITY,15.2810000,-0.0000158,0.0000031,0.0000173
MsgID.GLOBAL_POSITION,0.0000000,-122.3974501,37.7924796,0.2690000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,15.5310000,-0.0885155,0.2795072,-0.2690768
MsgID.LOCAL_VELOCITY,15.5310000,0.0000295,0.0000020,0.0000211
MsgID.GLOBAL_POSITION,0.0000000,-122.3974497,37.7924785,0.2670000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,15.7810000,-0.2138817,0.3190383,-0.2676883
MsgID.LOCAL_VELOCITY,15.7810000,-0.0000029,0.0000072,0.0000154
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974484,37.7924796,0.2570000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,16.0310000,-0.0958564,0.4311931,-0.2574540
MsgID.LOCAL_VELOCITY,16.0310000,-0.0000119,-0.0000175,0.0000195
MsgID.GLOBAL_POSITION,0.0000000,-122.3974498,37.7924799,0.2400000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,16.2820000,-0.0612961,0.3036274,-0.2400962
MsgID.LOCAL_VELOCITY,16.2820000,-0.0000144,-0.0000388,0.0000221
MsgID.GLOBAL_POSITION,0.0000000,-122.3974498,37.7924798,0.2180000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,16.5320000,-0.0740226,0.3056122,-0.2188227
MsgID.LOCAL_VELOCITY,16.5320000,-0.0000149,0.0000069,0.0000213
MsgID.GLOBAL_POSITION,0.0000000,-122.3974502,37.7924786,0.1960000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,16.7820000,-0.2033296,0.2720811,-0.1966203
MsgID.LOCAL_VELOCITY,16.7820000,0.0000086,-0.0000138,0.0000247
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974516,37.7924793,0.1750000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,17.0320000,-0.1276971,0.1494818,-0.1754911
MsgID.LOCAL_VELOCITY,17.0320000,0.0000062,-0.0000055,0.0000185
MsgID.GLOBAL_POSITION,0.0000000,-122.3974521,37.7924802,0.1550000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,17.2820000,-0.0246179,0.1058990,-0.1558174
MsgID.LOCAL_VELOCITY,17.2820000,0.0000023,-0.0000096,0.0000143
MsgID.GLOBAL_POSITION,0.0000000,-122.3974495,37.7924800,0.1370000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,17.5320000,-0.0467409,0.3305328,-0.1376018
MsgID.LOCAL_VELOCITY,17.5320000,0.0000013,0.0000013,0.0000112
MsgID.GLOBAL_POSITION,0.0000000,-122.3974493,37.7924798,0.1200000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,17.7820000,-0.0683949,0.3525254,-0.1209486
MsgID.LOCAL_VELOCITY,17.7820000,-0.0000163,0.0000008,0.0000240
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974516,37.7924783,0.1060000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,18.0320000,-0.2356172,0.1509775,-0.1060366
MsgID.LOCAL_VELOCITY,18.0320000,-0.0000074,-0.0000141,0.0000169
MsgID.GLOBAL_POSITION,0.0000000,-122.3974501,37.7924788,0.0920000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,18.2820000,-0.1829334,0.2850327,-0.0929350
MsgID.LOCAL_VELOCITY,18.2820000,0.0000165,-0.0000027,0.0000232
MsgID.GLOBAL_POSITION,0.0000000,-122.3974514,37.7924798,0.0810000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,18.5320000,-0.0699147,0.1681748,-0.0817447
MsgID.LOCAL_VELOCITY,18.5320000,0.0000158,-0.0000211,0.0000173
MsgID.GLOBAL_POSITION,0.0000000,-122.3974510,37.7924799,0.0740000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,18.7820000,-0.0612961,0.1965728,-0.0746188
MsgID.LOCAL_VELOCITY,18.7820000,-0.0000219,0.0000012,0.0000167
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974490,37.7924801,0.0730000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,19.0320000,-0.0353565,0.3746675,-0.0730458
MsgID.LOCAL_VELOCITY,19.0320000,-0.0000180,-0.0000201,0.0000165
MsgID.GLOBAL_POSITION,0.0000000,-122.3974503,37.7924812,0.0780000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,19.2820000,0.0895754,0.2616599,-0.0780476
MsgID.LOCAL_VELOCITY,19.2820000,0.0000023,-0.0000317,0.0000202
MsgID.GLOBAL_POSITION,0.0000000,-122.3974492,37.7924802,0.0880000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,19.5320000,-0.0217970,0.3588394,-0.0880734
MsgID.LOCAL_VELOCITY,19.5320000,-0.0000022,-0.0000150,0.0000137
MsgID.GLOBAL_POSITION,0.0000000,-122.3974490,37.7924795,0.0990000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,19.7820000,-0.1003693,0.3759222,-0.0994911
MsgID.LOCAL_VELOCITY,19.7820000,-0.0000269,-0.0000334,0.0000154
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974515,37.7924794,0.1070000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
